직함,나이,학력,코딩 경력(년),ML 경력(년),Python,R,SQL,C,C#,C++,Java,Javascript,Bash,PHP,MATLAB,Julia,Go,Scikit-learn,TensorFlow,Keras,PyTorch,Fast.ai,Xgboost,LightGBM,CatBoost,Caret,Tidymodels,JAX,PyTorch Lightning,Huggingface,Linear/Logistic Regression,Decision Trees/Random Forests,"Gradient Boosting (XGB, LGBM)",Bayesian Approaches,Evolutionary Approaches,Dense Neural Networks (MLP),CNN,GAN,RNN,"Transformer (BERT, GPT)","Autoencoder (DAE, VAE)",Graph Neural Networks,연봉 (USD)
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",30-34,Master’s degree,1-3 years,2-3 years,Python,,SQL,,,,,,Bash,,,Julia,,  Scikit-learn ,  TensorFlow , Keras ,,, Xgboost ,,, Caret ,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,$0-999
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",30-34,Master’s degree,5-10 years,Under 1 year,,R,,,,,,,,,,,,,,,,,,,,, Tidymodels ,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"5,000-7,499"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",25-29,Master’s degree,3-5 years,2-3 years,Python,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow ,,,,,,,,,,,,Linear or Logistic Regression,,,,,,,,,,,,"5,000-7,499"
Data Scientist,25-29,Bachelor’s degree,1-3 years,1-2 years,Python,,,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"25,000-29,999"
Machine Learning/ MLops Engineer,22-24,I prefer not to answer,1-3 years,Under 1 year,Python,,,C,,,,,,,MATLAB,,,  Scikit-learn ,  TensorFlow , Keras ,,,,,,,,,,,,,,,,,Convolutional Neural Networks,,,,,,
Machine Learning/ MLops Engineer,30-34,Doctoral degree,3-5 years,3-4 years,Python,,SQL,C,,,,,,PHP,MATLAB,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,, Xgboost ,, CatBoost ,,,, PyTorch Lightning ,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,Evolutionary Approaches,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)","Autoencoder Networks (DAE, VAE, etc)",Graph Neural Networks,
Data Engineer,25-29,Bachelor’s degree,< 1 years,I do not use machine learning methods,Python,,,,,,,Javascript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0-999
Machine Learning/ MLops Engineer,25-29,I prefer not to answer,< 1 years,1-2 years,Python,,,,,C++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",55-59,Master’s degree,20+ years,Under 1 year,Python,,SQL,,C#,C++,,,,PHP,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,,,,,,,,,,,Decision Trees or Random Forests,,,,,,,,,,,"15,000-19,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",30-34,Doctoral degree,1-3 years,Under 1 year,Python,R,SQL,,,,,,,,MATLAB,,,,  TensorFlow ,, PyTorch ,,,,,,,, PyTorch Lightning ,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",,,Recurrent Neural Networks,,,Graph Neural Networks,"1,000-1,999"
Data Scientist,35-39,Bachelor’s degree,10-20 years,10-20 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,, Xgboost , LightGBM ,,,,,, Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,
Data Scientist,25-29,Master’s degree,5-10 years,2-3 years,Python,,,,,,,,Bash,,,,,  Scikit-learn ,  TensorFlow ,, PyTorch ,, Xgboost , LightGBM , CatBoost ,,,, PyTorch Lightning , Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,"Transformer Networks (BERT, gpt-3, etc)",,,"30,000-39,999"
Data Scientist,50-54,Master’s degree,3-5 years,3-4 years,Python,R,SQL,,,,,,,,,,,  Scikit-learn ,,,,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,"2,000-2,999"
Machine Learning/ MLops Engineer,25-29,Bachelor’s degree,5-10 years,4-5 years,Python,,SQL,,,,Java,Javascript,,,,,,,,, PyTorch ,,,,,,,,, Huggingface ,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"90,000-99,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",25-29,Master’s degree,< 1 years,I do not use machine learning methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,000-7,499"
Data Engineer,30-34,I prefer not to answer,5-10 years,5-10 years,Python,R,SQL,,,,,,Bash,,,,Go,,,,,, Xgboost ,,,,,,,,,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"30,000-39,999"
Data Scientist,45-49,Master’s degree,10-20 years,10-20 years,Python,R,SQL,,,,,,,,,,,  Scikit-learn ,,,,, Xgboost ,,, Caret ,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,"Transformer Networks (BERT, gpt-3, etc)",,,"150,000-199,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",22-24,Professional doctorate,< 1 years,Under 1 year,Python,R,,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,,,,,,,,,,,,,$0-999
Machine Learning/ MLops Engineer,30-34,Doctoral degree,3-5 years,1-2 years,Python,,SQL,C,,C++,Java,Javascript,,PHP,,,,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,$0-999
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",25-29,Master’s degree,1-3 years,1-2 years,Python,R,,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,, Xgboost , LightGBM , CatBoost ,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,,"Autoencoder Networks (DAE, VAE, etc)",,$0-999
Data Scientist,30-34,Master’s degree,1-3 years,1-2 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,,,,, Xgboost , LightGBM ,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,$0-999
Data Scientist,50-54,Doctoral degree,1-3 years,2-3 years,Python,R,,,,,,,,,MATLAB,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,,,,,,,, PyTorch Lightning ,,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,Generative Adversarial Networks,Recurrent Neural Networks,,,Graph Neural Networks,
Data Scientist,25-29,Master’s degree,3-5 years,2-3 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"5,000-7,499"
Data Scientist,35-39,Master’s degree,3-5 years,3-4 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,,,,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"150,000-199,999"
Machine Learning/ MLops Engineer,30-34,Master’s degree,10-20 years,5-10 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,, Xgboost ,,,,,,, Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",,,,,,,"150,000-199,999"
Machine Learning/ MLops Engineer,25-29,Master’s degree,5-10 years,4-5 years,Python,,,,,,Java,,,,,,,,  TensorFlow ,, PyTorch ,,,,,,,,, Huggingface ,,,,,,,,,,"Transformer Networks (BERT, gpt-3, etc)",,,"40,000-49,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",25-29,Master’s degree,< 1 years,I do not use machine learning methods,Python,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",22-24,Master’s degree,< 1 years,Under 1 year,Python,,SQL,C,C#,C++,Java,Javascript,,PHP,,,,,,, PyTorch ,,,,,,,, PyTorch Lightning ,,,,,,Evolutionary Approaches,,,Generative Adversarial Networks,Recurrent Neural Networks,,,,
Data Scientist,22-24,Master’s degree,1-3 years,1-2 years,Python,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,"10,000-14,999"
Data Engineer,40-44,No formal education past high school,3-5 years,Under 1 year,Python,,SQL,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,,,,,,,,,,,,,"100,000-124,999"
Data Scientist,40-44,Doctoral degree,5-10 years,3-4 years,Python,,,,,,,,,,MATLAB,,,,,, PyTorch ,,,,,,,,,,,,,Bayesian Approaches,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",40-44,Master’s degree,3-5 years,3-4 years,Python,,,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"10,000-14,999"
Machine Learning/ MLops Engineer,40-44,Master’s degree,20+ years,5-10 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,, Xgboost ,,,,,,, Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,"Transformer Networks (BERT, gpt-3, etc)","Autoencoder Networks (DAE, VAE, etc)",,"250,000-299,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",35-39,Doctoral degree,5-10 years,2-3 years,Python,,SQL,,,,,,Bash,,,,,  Scikit-learn ,,,,, Xgboost ,,,,,,,,,,,,,,,,,,,,
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",40-44,Bachelor’s degree,I have never written code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",35-39,Bachelor’s degree,3-5 years,1-2 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,,,,,,,,,,,,,"3,000-3,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",40-44,Master’s degree,5-10 years,4-5 years,Python,,SQL,C,,C++,Java,Javascript,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,"30,000-39,999"
Data Scientist,45-49,Bachelor’s degree,20+ years,10-20 years,Python,R,SQL,,,,,,,,MATLAB,,,,  TensorFlow , Keras ,,, Xgboost ,,, Caret , Tidymodels ,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,Convolutional Neural Networks,,,,,,"150,000-199,999"
Data Scientist,25-29,Master’s degree,< 1 years,Under 1 year,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0-999
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",50-54,Bachelor’s degree,20+ years,4-5 years,Python,R,SQL,,,,,,,,,,,  Scikit-learn ,, Keras ,,,,, CatBoost ,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,"Autoencoder Networks (DAE, VAE, etc)",,"2,000-2,999"
Data Scientist,30-34,Master’s degree,5-10 years,2-3 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,
Data Engineer,22-24,Master’s degree,< 1 years,Under 1 year,Python,,,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,Generative Adversarial Networks,,,,Graph Neural Networks,"40,000-49,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",30-34,Bachelor’s degree,3-5 years,Under 1 year,Python,,SQL,,,,,,,,,,,  Scikit-learn ,  TensorFlow ,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"3,000-3,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",40-44,Bachelor’s degree,< 1 years,Under 1 year,Python,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,Recurrent Neural Networks,,,,
Machine Learning/ MLops Engineer,25-29,Master’s degree,< 1 years,Under 1 year,Python,,SQL,C,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,"1,000-1,999"
Data Scientist,50-54,Professional doctorate,10-20 years,1-2 years,Python,R,SQL,,,,,,,,,,,,  TensorFlow ,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"1,000-1,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",55-59,Bachelor’s degree,< 1 years,Under 1 year,Python,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,$0-999
Data Scientist,22-24,Bachelor’s degree,3-5 years,1-2 years,Python,R,,,,,,,,,,,,  Scikit-learn ,  TensorFlow ,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,,,,"40,000-49,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",30-34,Master’s degree,5-10 years,5-10 years,Python,R,SQL,,,C++,,Javascript,Bash,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch , Fast.ai , Xgboost ,,, Caret ,,, PyTorch Lightning ,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,Generative Adversarial Networks,,,,,
Data Scientist,30-34,Master’s degree,5-10 years,5-10 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,,, PyTorch ,, Xgboost , LightGBM , CatBoost ,,,, PyTorch Lightning ,,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,"100,000-124,999"
Data Engineer,30-34,Bachelor’s degree,3-5 years,Under 1 year,Python,,,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"40,000-49,999"
Data Scientist,35-39,Master’s degree,1-3 years,1-2 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,,,,,,,,,,,,"7,500-9,999"
Data Scientist,25-29,Master’s degree,1-3 years,2-3 years,Python,,,,,,,,,,,,,  Scikit-learn ,,, PyTorch ,,, LightGBM , CatBoost ,,,,, Huggingface ,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,
Data Scientist,22-24,Bachelor’s degree,< 1 years,Under 1 year,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,000-7,499"
Data Scientist,35-39,Master’s degree,1-3 years,2-3 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,,,,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"30,000-39,999"
Data Scientist,30-34,Master’s degree,5-10 years,4-5 years,Python,,,,,,,,,,,,,  Scikit-learn ,,, PyTorch ,,,,,,,, PyTorch Lightning , Huggingface ,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",,,,"Transformer Networks (BERT, gpt-3, etc)",,,"50,000-59,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",25-29,Master’s degree,3-5 years,1-2 years,Python,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,, Xgboost , LightGBM ,,,,,,,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,"60,000-69,999"
Data Scientist,40-44,Doctoral degree,20+ years,10-20 years,Python,R,,,,,,,,,,,,,, Keras , PyTorch ,, Xgboost ,,,,,,, Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"40,000-49,999"
Data Scientist,30-34,Master’s degree,10-20 years,5-10 years,,R,SQL,,,,,,,,,,,,,,,, Xgboost ,,, Caret , Tidymodels ,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,"150,000-199,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",35-39,Master’s degree,1-3 years,Under 1 year,Python,,SQL,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,$0-999
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",55-59,Bachelor’s degree,< 1 years,I do not use machine learning methods,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,000-14,999"
Data Scientist,40-44,Professional doctorate,10-20 years,3-4 years,Python,,,,,,,,Bash,,,,,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",,,,,,,"100,000-124,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",22-24,Bachelor’s degree,I have never written code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0-999
Machine Learning/ MLops Engineer,25-29,Master’s degree,1-3 years,1-2 years,Python,,,,,,Java,,,,MATLAB,,,  Scikit-learn ,,, PyTorch ,,,,,,,,,,,,,,,,,,,,,Graph Neural Networks,$0-999
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",25-29,Some college/university study without earning a bachelor’s degree,1-3 years,I do not use machine learning methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0-999
Machine Learning/ MLops Engineer,30-34,Master’s degree,5-10 years,5-10 years,Python,,SQL,,,,,,Bash,,,,,  Scikit-learn ,,,,,,, CatBoost ,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,"40,000-49,999"
Data Engineer,22-24,Bachelor’s degree,< 1 years,Under 1 year,Python,,SQL,,,,,,,,,,,,,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,$0-999
Data Scientist,25-29,Master’s degree,3-5 years,4-5 years,Python,R,SQL,C,C#,C++,Java,Javascript,Bash,PHP,MATLAB,Julia,Go,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,, Xgboost , LightGBM , CatBoost ,,,,, Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,Evolutionary Approaches,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)","Autoencoder Networks (DAE, VAE, etc)",Graph Neural Networks,"40,000-49,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",30-34,Master’s degree,1-3 years,3-4 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,Graph Neural Networks,"$500,000-999,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",55-59,I prefer not to answer,I have never written code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,000-7,499"
Data Engineer,25-29,Master’s degree,1-3 years,2-3 years,Python,,,,,,,,,,,,,  Scikit-learn ,,,,, Xgboost , LightGBM ,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,Recurrent Neural Networks,,,,"70,000-79,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",30-34,I prefer not to answer,1-3 years,1-2 years,Python,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,, Xgboost ,,,,,,,,,,,Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",,,,"Transformer Networks (BERT, gpt-3, etc)",,,"2,000-2,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",25-29,Master’s degree,< 1 years,I do not use machine learning methods,Python,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,000-4,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",45-49,Doctoral degree,< 1 years,Under 1 year,Python,,SQL,,,,Java,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,, Xgboost , LightGBM ,, Caret ,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,$0-999
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",22-24,Master’s degree,1-3 years,1-2 years,Python,R,,,C#,C++,,,,,MATLAB,,,,  TensorFlow , Keras ,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,Graph Neural Networks,"1,000-1,999"
Data Scientist,50-54,Doctoral degree,20+ years,2-3 years,Python,,,,C#,,Java,,,,,,,  Scikit-learn ,,, PyTorch ,,,,,,,,,,,,,,,,Convolutional Neural Networks,,,,,,"10,000-14,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",45-49,Master’s degree,< 1 years,I do not use machine learning methods,,R,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,000-2,999"
Machine Learning/ MLops Engineer,40-44,Professional doctorate,20+ years,10-20 years,Python,,SQL,,,C++,,,Bash,,MATLAB,,Go,  Scikit-learn ,  TensorFlow ,, PyTorch ,, Xgboost ,,,,, JAX ,, Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,"$500,000-999,999"
Data Scientist,22-24,Some college/university study without earning a bachelor’s degree,1-3 years,2-3 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,,, PyTorch ,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",,,Recurrent Neural Networks,,,,"3,000-3,999"
Data Scientist,35-39,Doctoral degree,5-10 years,4-5 years,Python,R,SQL,C,,,Java,Javascript,,,,,,  Scikit-learn ,,,,, Xgboost , LightGBM , CatBoost , Caret ,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,Evolutionary Approaches,,,,,,,,$0-999
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",40-44,Bachelor’s degree,5-10 years,I do not use machine learning methods,Python,,SQL,,,,,Javascript,Bash,PHP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",25-29,Master’s degree,3-5 years,Under 1 year,Python,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0-999
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",35-39,Master’s degree,1-3 years,1-2 years,,R,,,,,,,,,,,,,,,,, Xgboost ,,, Caret , Tidymodels ,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,"90,000-99,999"
Data Scientist,30-34,Professional doctorate,1-3 years,2-3 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,,,,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,Evolutionary Approaches,,,,,,,,"20,000-24,999"
Data Scientist,25-29,Bachelor’s degree,5-10 years,2-3 years,Python,R,SQL,,,,,,,,,,,  Scikit-learn ,,,,, Xgboost , LightGBM , CatBoost , Caret , Tidymodels ,,,,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",30-34,Bachelor’s degree,I have never written code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,000-2,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",22-24,Bachelor’s degree,1-3 years,Under 1 year,Python,R,,,,,,,,,,,,  Scikit-learn ,,,,,, LightGBM , CatBoost ,,,,,,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"1,000-1,999"
Data Engineer,40-44,Master’s degree,1-3 years,Under 1 year,Python,,SQL,,,,,,Bash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,000-124,999"
Data Scientist,60-69,Bachelor’s degree,20+ years,10-20 years,Python,,,,,,,,,,,,,  Scikit-learn ,,,,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"60,000-69,999"
